ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,gender_0to1,gender_1to0,marry_1to0,marry_0to1,graduated_1to0,graduated_0to1,var_down,var_up,ID_change,Segmentation
459024,1,1,50,1,0,0,1,5,5,1,0,0,1,0,1,0,0,0,3
459024,1,1,50,1,0,1,1,5,5,0,0,0,0,0,0,0,0,1,3
459026,1,0,29,0,5,9,0,3,2,0,0,1,0,1,0,1,0,0,4
459026,1,0,27,0,5,8,0,3,2,0,0,0,0,0,0,0,0,1,4
459027,1,1,67,1,1,1,1,4,5,0,0,0,1,0,1,0,1,0,2
459028,1,1,57,1,4,1,2,3,5,0,0,0,0,0,0,0,0,0,3
459029,1,1,70,0,4,-1,2,2,5,0,0,0,0,1,0,0,0,0,2
459030,1,1,46,0,4,6,2,6,5,0,0,0,0,0,0,0,0,0,3
459031,1,1,43,0,4,1,2,5,3,0,0,0,0,0,0,1,0,0,2
459032,1,0,21,0,1,0,0,3,5,0,0,1,0,0,0,0,1,0,1
459032,1,0,18,0,1,0,0,3,5,0,0,0,0,0,0,0,0,1,1
459033,0,1,56,1,0,0,0,1,5,0,1,0,1,0,1,0,0,0,2
459033,0,1,61,1,0,0,0,1,5,0,0,0,0,0,0,0,0,1,2
459034,0,0,21,0,5,-1,0,5,5,0,0,1,0,1,0,0,0,0,4
459036,0,1,20,1,7,1,1,3,2,0,0,0,1,0,1,1,0,0,1
459036,0,1,20,1,7,1,1,3,2,0,0,0,0,0,0,0,0,1,1
459037,0,0,23,0,2,1,0,-1,5,0,0,1,0,1,0,0,1,0,4
459038,0,0,18,0,5,1,0,4,5,0,0,0,0,0,0,0,0,0,4
459039,1,1,45,1,0,1,1,2,5,1,0,0,1,0,1,0,0,0,3
459039,1,1,45,1,0,1,1,2,5,0,0,0,0,0,0,0,0,1,3
459041,1,1,62,1,0,8,0,1,5,0,0,0,0,0,0,0,0,0,4
459041,1,1,55,1,0,8,0,1,5,0,0,0,0,0,0,0,0,1,4
459042,0,1,41,1,2,1,1,3,5,0,1,0,0,0,0,0,0,0,3
459043,0,1,49,0,2,1,0,1,6,0,0,0,0,1,0,0,1,0,1
459044,1,1,38,1,0,4,1,3,5,1,0,0,0,0,1,1,0,0,3
459045,0,1,88,1,7,1,1,4,5,0,1,0,0,0,0,0,0,0,
459046,1,1,57,1,4,-1,0,4,1,1,0,0,0,0,0,1,0,0,1
459047,0,0,21,0,5,1,0,5,3,0,1,1,0,1,0,0,1,0,4
459048,0,0,18,0,5,0,0,5,5,0,0,0,0,0,0,0,1,0,4
459049,1,1,49,1,4,2,2,4,1,1,0,0,1,0,1,1,0,0,2
459050,0,0,19,0,5,0,0,3,5,0,1,1,0,1,0,0,1,0,4
459051,1,1,66,1,0,-1,1,2,5,1,0,0,1,0,1,0,0,0,3
459052,1,1,47,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,1
459053,1,1,46,1,4,0,2,4,5,0,0,0,0,0,1,0,0,0,3
459054,1,1,37,1,4,9,2,4,5,0,0,0,0,0,0,0,0,0,3
459055,0,0,19,0,3,1,0,5,5,0,1,1,0,1,0,0,0,0,4
459056,1,1,56,0,4,-1,2,3,5,1,0,0,1,0,0,0,0,0,2
459056,1,1,63,0,4,-1,2,3,5,0,0,0,0,0,0,0,0,1,2
459057,1,1,68,0,7,-1,2,-1,5,0,0,0,0,0,0,0,0,0,4
459057,1,1,69,0,7,-1,2,-1,5,0,0,0,0,0,0,0,0,1,4
459058,1,0,40,1,0,1,0,4,2,0,0,1,0,0,1,1,0,0,1
459058,1,0,42,1,0,0,0,4,2,0,0,0,0,0,0,0,0,1,1
459059,1,1,87,0,4,-1,2,2,5,0,0,0,1,1,0,0,1,0,1
459059,1,1,79,0,4,-1,2,2,5,0,0,0,0,0,0,0,0,1,1
459061,0,1,39,1,5,9,2,3,5,0,1,0,0,0,1,0,0,0,1
459061,0,1,35,1,5,9,2,3,5,0,0,0,0,0,0,0,0,1,1
459062,1,-1,48,1,4,-1,2,5,5,1,0,0,0,0,0,0,0,0,2
459064,1,1,26,0,4,5,2,4,5,0,0,0,0,1,0,0,0,0,4
459064,1,1,27,0,4,5,2,4,5,0,0,0,0,0,0,0,0,1,4
459065,1,1,51,1,2,-1,0,2,5,0,0,0,0,0,1,0,0,0,4
459065,1,1,52,1,2,-1,0,2,5,0,0,0,0,0,0,0,0,1,4
459066,1,1,47,1,4,8,2,4,5,0,0,0,0,0,0,0,0,0,3
459068,0,0,33,1,5,2,0,2,5,0,1,1,0,0,0,0,0,0,1
459069,1,1,25,1,1,0,1,2,5,1,0,0,1,0,0,0,0,0,1
459070,0,1,66,0,7,-1,0,1,5,0,1,0,0,1,0,0,0,0,1
459071,1,0,28,1,5,5,0,4,5,1,0,1,0,0,1,0,0,0,3
459072,1,1,66,1,3,1,1,2,5,0,0,0,1,0,0,0,0,0,3
459073,0,0,26,1,5,0,0,3,5,0,1,1,0,0,0,0,0,0,3
459074,0,0,30,1,5,0,0,4,3,0,0,0,0,0,0,1,0,0,3
459074,0,0,29,1,5,0,0,4,3,0,0,0,0,0,0,0,0,1,3
459076,1,1,69,0,1,0,1,2,5,1,0,0,1,1,0,0,1,0,3
459077,0,1,82,0,7,0,2,2,5,0,1,0,0,0,0,0,0,0,1
459077,0,1,79,0,7,1,2,2,5,0,0,0,0,0,0,0,0,1,1
459078,1,1,70,1,7,0,2,2,5,1,0,0,0,0,1,0,0,0,2
459079,1,1,84,1,7,-1,2,2,5,0,0,0,0,0,0,0,0,0,1
459079,1,1,87,1,7,-1,2,2,5,0,0,0,0,0,0,0,0,1,1
459080,1,1,77,0,7,0,0,2,5,0,0,0,0,1,0,0,0,0,4
459080,1,1,89,0,7,1,0,2,5,0,0,0,0,0,0,0,0,1,4
459081,1,1,63,1,0,0,1,4,5,0,0,0,0,0,1,0,0,0,3
459082,1,-1,45,1,0,1,0,-1,5,0,0,0,0,0,0,0,0,0,1
459083,1,1,58,1,0,8,1,3,-1,0,0,0,0,0,0,1,0,0,3
459083,1,1,63,1,0,9,1,3,-1,0,0,0,0,0,0,0,0,1,3
459084,1,1,47,0,4,0,2,2,6,0,0,0,0,1,0,0,1,0,2
459085,1,0,22,0,8,4,0,3,5,0,0,1,0,0,0,1,0,0,1
459086,0,0,28,0,5,1,0,2,5,0,1,0,0,0,0,0,0,0,2
459087,0,0,21,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,3
459088,0,0,20,0,5,1,0,5,5,0,0,0,0,0,0,0,0,0,4
459089,1,0,19,0,0,9,0,7,6,1,0,0,0,0,0,0,1,0,2
459090,1,0,31,0,0,1,0,2,5,0,0,0,0,0,0,1,0,0,
459091,1,1,67,1,0,0,1,6,0,0,0,0,1,0,1,1,0,0,2
459091,1,1,72,1,0,1,1,6,0,0,0,0,0,0,0,0,0,1,2
459092,1,1,60,1,4,0,2,4,5,0,0,0,0,0,0,0,1,0,2
459093,0,1,39,1,1,8,1,2,-1,0,1,0,0,0,0,1,0,0,3
459093,0,1,41,1,1,9,1,2,-1,0,0,0,0,0,0,0,0,1,3
459094,0,0,31,0,5,1,0,5,5,0,0,1,0,1,0,0,1,0,3
459095,1,1,35,0,3,9,0,3,0,1,0,0,1,0,0,1,0,0,1
459096,1,-1,80,0,7,0,0,1,5,0,0,0,0,0,0,0,1,0,1
459097,1,1,88,1,7,0,2,2,5,0,0,0,0,0,1,0,0,0,1
459098,1,1,42,1,3,-1,0,3,5,0,0,0,0,0,0,0,0,0,4
459099,1,1,30,1,1,8,1,2,5,0,0,0,0,0,0,0,0,0,1
459100,0,0,63,1,0,14,0,1,5,0,1,1,0,0,0,0,0,0,2
459100,0,0,61,1,0,11,0,1,5,0,0,0,0,0,0,0,0,1,2
459101,1,1,81,0,7,8,0,2,5,1,0,0,1,1,0,0,0,0,2
459104,1,0,22,0,5,0,0,-1,5,0,0,1,0,0,0,0,0,0,4
459105,1,1,39,1,4,5,2,3,5,0,0,0,1,0,1,0,0,0,3
459106,1,1,60,1,0,1,0,2,5,0,0,0,0,0,0,0,0,0,3
459106,1,1,62,1,0,0,0,2,5,0,0,0,0,0,0,0,0,1,3
459107,1,1,55,1,0,1,0,2,5,0,0,0,0,0,0,0,0,0,3
459108,1,0,23,0,5,-1,0,5,5,0,0,1,0,1,0,0,0,0,4
459109,1,1,49,1,3,7,1,4,5,0,0,0,1,0,1,0,0,0,3
459111,1,1,41,1,4,0,0,4,5,0,0,0,0,0,0,0,0,0,2
459112,0,1,72,1,7,1,2,-1,-1,0,1,0,0,0,0,1,0,0,3
459114,1,1,57,1,0,1,1,2,5,1,0,0,0,0,0,0,1,0,3
459114,1,1,56,1,0,1,1,2,5,0,0,0,0,0,0,0,0,1,3
459115,0,0,21,0,8,1,0,5,3,0,1,1,0,1,0,1,0,0,4
459116,1,1,60,1,0,2,1,5,5,1,0,0,1,0,1,0,1,0,
459117,1,1,66,1,0,1,2,2,5,0,0,0,0,0,0,0,0,0,3
459117,1,1,68,1,0,0,2,2,5,0,0,0,0,0,0,0,0,1,3
459118,1,0,21,0,5,-1,0,8,5,0,0,1,0,1,0,0,0,0,4
459118,1,0,19,0,5,-1,0,8,5,0,0,0,0,0,0,0,0,1,4
459119,1,1,61,1,4,9,2,3,5,0,0,0,1,0,1,0,0,0,3
459119,1,1,57,1,4,8,2,3,5,0,0,0,0,0,0,0,0,1,3
459120,1,0,23,0,5,5,0,5,1,0,0,1,0,1,0,1,0,0,4
459120,1,0,19,0,5,5,0,5,1,0,0,0,0,0,0,0,0,1,4
459121,0,1,51,1,0,3,1,6,5,0,1,0,1,0,1,0,1,0,
459122,0,1,51,1,0,6,1,5,5,0,0,0,0,0,0,0,0,0,3
459123,0,1,86,0,0,1,2,2,5,0,0,0,0,1,0,0,0,0,
459124,0,1,75,1,0,1,2,3,5,0,0,0,0,0,1,0,0,0,2
459125,0,0,32,1,0,-1,0,7,5,0,0,1,0,0,0,0,0,0,1
459126,1,1,61,1,0,2,0,2,5,1,0,0,1,0,0,0,0,0,2
459127,1,0,43,1,5,1,0,7,5,0,0,1,0,0,0,0,0,0,4
459128,0,1,78,0,7,0,2,3,5,0,1,0,1,1,0,0,0,0,2
459129,0,0,26,1,8,9,0,-1,2,0,0,1,0,0,1,1,0,0,4
459130,0,1,74,0,7,0,2,2,5,0,0,0,1,1,0,0,1,0,1
459130,0,1,74,0,7,1,2,2,5,0,0,0,0,0,0,0,0,1,1
459132,1,0,20,0,3,5,0,2,5,1,0,1,0,0,0,0,0,0,4
459132,1,0,23,0,3,6,0,2,5,0,0,0,0,0,0,0,0,1,4
459133,1,0,23,0,3,1,0,3,3,0,0,0,0,0,0,1,0,0,4
459134,0,1,69,1,7,0,2,2,5,0,1,0,1,0,1,0,1,0,3
459135,1,1,53,1,4,0,2,4,5,1,0,0,0,0,0,0,0,0,3
459136,1,1,47,1,0,0,1,2,5,0,0,0,0,0,0,0,0,0,
459137,1,1,42,1,0,7,1,2,5,0,0,0,0,0,0,0,0,0,3
459138,1,1,53,1,0,1,1,3,5,0,0,0,0,0,0,0,0,0,3
459139,0,1,53,1,0,1,1,2,3,0,1,0,0,0,0,1,0,0,3
459140,0,0,18,0,5,7,0,6,5,0,0,1,0,1,0,0,1,0,4
459140,0,0,19,0,5,7,0,6,5,0,0,0,0,0,0,0,0,1,4
459141,1,1,28,0,0,0,1,2,5,1,0,0,1,0,0,0,0,0,4
459142,0,1,89,1,0,0,2,3,5,0,1,0,0,0,1,0,0,0,3
459143,1,1,47,0,0,0,2,4,5,1,0,0,0,1,0,0,0,0,2
459143,1,1,50,0,0,0,2,4,5,0,0,0,0,0,0,0,0,1,2
459144,1,1,80,1,7,-1,2,2,5,0,0,0,0,0,1,0,0,0,
459145,1,1,88,0,7,-1,0,1,1,0,0,0,0,1,0,1,0,0,1
459145,1,1,78,0,7,-1,0,1,1,0,0,0,0,0,0,0,0,1,1
459146,1,1,69,1,0,1,0,2,5,0,0,0,0,0,1,0,1,0,1
459147,1,1,81,1,3,1,0,1,5,0,0,0,0,0,0,0,0,0,4
459148,0,0,20,0,5,2,0,3,3,0,1,1,0,1,0,1,0,0,4
459149,1,1,43,0,4,0,2,4,5,1,0,0,1,0,0,0,1,0,2
459150,0,0,49,1,1,0,0,1,5,0,1,1,0,0,1,0,0,0,1
459150,0,0,48,1,1,0,0,1,5,0,0,0,0,0,0,0,0,1,1
459151,1,1,60,1,7,9,0,2,5,1,0,0,1,0,0,0,0,0,2
459152,0,0,40,1,0,8,0,2,5,0,1,1,0,0,0,0,0,0,2
459153,0,1,75,1,-1,0,2,2,5,0,0,0,1,0,0,0,0,0,2
459154,1,1,88,1,7,0,2,2,5,1,0,0,0,0,0,0,0,0,1
459156,0,1,81,1,7,1,2,2,5,0,1,0,0,0,0,0,0,0,1
459157,1,0,37,1,2,1,0,1,5,1,0,1,0,0,0,0,0,0,4
459158,1,0,36,0,2,3,0,3,5,0,0,0,0,1,0,0,0,0,4
459159,1,1,80,1,7,1,0,1,5,0,0,0,1,0,1,0,0,0,1
459160,1,1,70,1,1,1,1,2,5,0,0,0,0,0,0,0,0,0,
459161,1,1,51,1,4,3,2,5,5,0,0,0,0,0,0,0,0,0,3
459161,1,1,50,1,4,3,2,5,5,0,0,0,0,0,0,0,0,1,3
459162,0,1,85,1,7,0,2,2,5,0,1,0,0,0,0,0,0,0,1
459162,0,1,83,1,7,0,2,2,5,0,0,0,0,0,0,0,0,1,1
459163,1,0,42,1,3,1,0,1,5,1,0,1,0,0,0,0,0,0,1
459163,1,0,35,1,3,0,0,1,5,0,0,0,0,0,0,0,0,1,1
459165,1,0,27,0,1,7,0,3,5,0,0,0,0,1,0,0,0,0,3
459166,1,1,77,1,0,1,0,1,5,0,0,0,1,0,1,0,0,0,1
459167,0,0,42,1,0,1,0,2,4,0,1,1,0,0,0,1,0,0,3
459167,0,0,36,1,0,0,0,2,4,0,0,0,0,0,0,0,0,1,3
459168,0,0,36,1,0,5,0,2,5,0,0,0,0,0,0,0,1,0,2
459170,0,0,36,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,2
459170,0,0,35,1,0,1,0,1,5,0,0,0,0,0,0,0,0,1,2
459171,1,1,40,1,0,1,1,2,5,1,0,0,1,0,0,0,0,0,3
459171,1,1,35,1,0,0,1,2,5,0,0,0,0,0,0,0,0,1,3
459172,1,0,21,0,5,3,0,3,1,0,0,1,0,1,0,1,0,0,4
459172,1,0,18,0,5,3,0,3,1,0,0,0,0,0,0,0,0,1,4
459173,1,1,55,1,0,1,1,2,5,0,0,0,1,0,1,0,1,0,3
459174,1,0,43,1,0,1,0,2,3,0,0,1,0,0,0,1,0,0,2
459175,0,1,70,1,0,1,1,2,5,0,1,0,1,0,0,0,1,0,3
459175,0,1,73,1,0,1,1,2,5,0,0,0,0,0,0,0,0,1,3
459177,0,1,39,1,0,1,1,4,5,0,0,0,0,0,0,0,0,0,1
459178,1,1,48,1,4,0,2,5,5,1,0,0,0,0,0,0,0,0,3
459179,1,1,60,0,3,0,1,3,5,0,0,0,0,1,0,0,0,0,2
459180,1,1,66,1,4,1,2,2,5,0,0,0,0,0,1,0,0,0,3
459181,1,1,58,0,0,0,2,3,5,0,0,0,0,1,0,0,0,0,4
459181,1,1,62,0,0,1,2,3,5,0,0,0,0,0,0,0,0,1,4
459182,0,1,46,1,0,1,1,2,5,0,1,0,0,0,1,0,0,0,
459183,0,0,26,1,0,1,0,3,1,0,0,1,0,0,0,1,0,0,1
459184,1,1,39,1,3,1,0,4,3,1,0,0,1,0,0,0,1,0,1
459184,1,1,43,1,3,0,0,4,3,0,0,0,0,0,0,0,0,1,1
459185,0,0,25,1,3,5,0,1,5,0,1,1,0,0,0,0,1,0,4
459185,0,0,32,1,3,7,0,1,5,0,0,0,0,0,0,0,0,1,4
459187,0,1,52,0,1,0,1,3,3,0,0,0,1,1,0,1,0,0,2
459188,1,0,27,0,5,1,0,3,5,1,0,1,0,0,0,0,1,0,3
459189,1,0,26,0,5,1,0,6,5,0,0,0,0,0,0,0,0,0,3
459191,1,1,49,1,0,0,0,1,5,0,0,0,1,0,1,0,0,0,2
459192,1,1,35,1,0,3,1,3,5,0,0,0,0,0,0,0,0,0,3
459193,1,0,38,1,0,1,0,1,5,0,0,1,0,0,0,0,0,0,1
459193,1,0,39,1,0,0,0,1,5,0,0,0,0,0,0,0,0,1,1
459194,0,1,81,1,7,1,2,2,5,0,1,0,1,0,0,0,0,0,3
459194,0,1,89,1,7,0,2,2,5,0,0,0,0,0,0,0,0,1,3
459195,0,1,58,1,0,1,1,2,5,0,0,0,0,0,0,0,0,0,3
459196,0,0,23,0,5,1,0,3,3,0,0,1,0,1,0,1,0,0,4
459196,0,0,18,0,5,0,0,3,3,0,0,0,0,0,0,0,0,1,4
459197,0,1,39,1,-1,0,1,2,5,0,0,0,1,0,1,0,1,0,1
459198,0,1,66,1,0,0,1,3,5,0,0,0,0,0,0,0,0,0,3
459200,0,1,39,1,0,2,1,4,5,0,0,0,0,0,0,0,0,0,3
459201,0,1,66,1,0,0,1,2,5,0,0,0,0,0,0,0,0,0,3
459203,1,1,35,1,2,0,0,2,5,1,0,0,0,0,0,0,0,0,2
459204,0,1,35,1,2,0,1,2,5,0,1,0,0,0,0,0,0,0,2
459206,0,0,25,0,0,1,0,3,5,0,0,1,0,1,0,0,0,0,3
459207,0,1,62,-1,1,0,1,4,5,0,0,0,1,0,0,0,0,0,2
459208,0,1,61,1,0,1,2,2,2,0,0,0,0,0,0,1,0,0,3
459208,0,1,57,1,0,0,2,2,2,0,0,0,0,0,0,0,0,1,3
459209,0,0,21,0,3,1,0,4,5,0,0,1,0,1,0,0,1,0,3
459209,0,0,18,0,3,0,0,4,5,0,0,0,0,0,0,0,0,1,3
459210,0,1,68,1,0,1,2,2,5,0,0,0,1,0,1,0,0,0,3
459210,0,1,71,1,0,1,2,2,5,0,0,0,0,0,0,0,0,1,3
459212,0,1,68,1,0,1,1,2,5,0,0,0,0,0,0,0,0,0,3
459212,0,1,69,1,0,0,1,2,5,0,0,0,0,0,0,0,0,1,3
459213,0,0,38,1,5,0,0,4,5,0,0,1,0,0,0,0,0,0,1
459213,0,0,42,1,5,0,0,4,5,0,0,0,0,0,0,0,0,1,1
459214,0,0,26,1,2,0,0,3,5,0,0,0,0,0,0,0,0,0,3
459215,0,1,58,1,0,0,0,3,2,0,0,0,1,0,0,1,0,0,3
459216,0,0,42,1,0,1,0,2,5,0,0,1,0,0,0,0,1,0,1
459216,0,0,36,1,0,0,0,2,5,0,0,0,0,0,0,0,0,1,1
459217,0,1,60,0,7,1,1,3,5,0,0,0,1,1,0,0,0,0,2
459218,1,1,88,1,7,0,2,3,5,1,0,0,0,0,1,0,0,0,3
459219,0,1,47,1,0,0,1,3,5,0,1,0,0,0,0,0,0,0,3
459220,0,1,77,1,7,1,2,2,5,0,0,0,0,0,0,0,0,0,1
459220,0,1,80,1,7,1,2,2,5,0,0,0,0,0,0,0,0,1,1
459221,1,1,70,0,3,-1,0,1,5,1,0,0,0,1,0,0,0,0,2
459221,1,1,69,0,3,-1,0,1,5,0,0,0,0,0,0,0,0,1,2
459222,0,1,68,1,0,1,1,3,5,0,1,0,0,0,1,0,0,0,3
459222,0,1,67,1,0,0,1,3,5,0,0,0,0,0,0,0,0,1,3
459223,0,1,47,1,1,1,1,4,5,0,0,0,0,0,0,0,0,0,3
459223,0,1,47,1,1,1,1,4,5,0,0,0,0,0,0,0,0,1,3
459224,0,1,48,1,0,0,1,2,5,0,0,0,0,0,0,0,0,0,3
459224,0,1,49,1,0,0,1,2,5,0,0,0,0,0,0,0,0,1,3
459225,0,1,49,1,0,0,1,4,5,0,0,0,0,0,0,0,0,0,3
459226,0,1,43,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,3
459227,0,1,31,0,2,9,0,4,5,0,0,0,0,1,0,0,1,0,1
459227,0,1,32,0,2,9,0,4,5,0,0,0,0,0,0,0,0,1,1
459228,0,1,52,1,0,0,1,4,5,0,0,0,0,0,1,0,0,0,3
459229,0,1,65,1,7,0,1,4,5,0,0,0,0,0,0,0,0,0,2
459229,0,1,65,1,7,1,1,4,5,0,0,0,0,0,0,0,0,1,2
459230,1,1,43,0,0,7,2,4,5,1,0,0,0,1,0,0,0,0,2
459231,0,1,43,1,0,3,1,4,5,0,1,0,0,0,1,0,0,0,3
459232,0,1,59,1,0,0,2,2,5,0,0,0,0,0,0,0,0,0,3
459233,0,1,53,1,8,6,0,1,5,0,0,0,0,0,0,0,0,0,4
459234,0,1,83,0,7,1,0,1,5,0,0,0,0,1,0,0,0,0,4
459235,1,1,55,0,3,1,0,-1,3,1,0,0,0,0,0,1,0,0,1
459236,0,1,86,0,7,0,2,2,5,0,1,0,0,0,0,0,1,0,2
459236,0,1,78,0,7,0,2,2,5,0,0,0,0,0,0,0,0,1,2
459237,1,0,29,1,0,1,0,6,5,1,0,1,0,0,1,0,0,0,1
459237,1,0,33,1,0,1,0,6,5,0,0,0,0,0,0,0,0,1,1
459238,0,1,80,1,7,-1,2,2,5,0,1,0,1,0,0,0,0,0,1
459239,1,1,81,0,3,1,0,1,5,1,0,0,0,1,0,0,0,0,1
459240,0,0,28,1,0,1,0,1,5,0,1,1,0,0,1,0,0,0,1
459241,1,1,46,0,3,-1,0,5,5,1,0,0,1,1,0,0,0,0,4
459242,1,1,65,1,4,0,0,4,5,0,0,0,0,0,1,0,0,0,2
459244,1,1,48,1,0,1,0,1,5,0,0,0,0,0,0,0,0,0,
459245,0,1,38,0,2,0,1,4,5,0,1,0,0,1,0,0,0,0,2
459247,1,1,60,1,4,0,1,5,5,1,0,0,0,0,1,0,0,0,3
459247,1,1,58,1,4,1,1,5,5,0,0,0,0,0,0,0,0,1,3
459248,1,1,58,1,4,3,1,4,2,0,0,0,0,0,0,1,0,0,2
459250,1,1,50,1,1,1,1,4,5,0,0,0,0,0,0,0,1,0,3
459251,1,0,35,1,0,0,0,1,5,0,0,1,0,0,0,0,0,0,2
459252,1,1,66,1,7,0,2,3,5,0,0,0,1,0,0,0,0,0,1
459253,1,1,36,1,0,1,1,4,5,0,0,0,0,0,0,0,0,0,3
459254,1,1,57,1,1,-1,0,1,5,0,0,0,0,0,0,0,0,0,1
459255,0,0,33,1,5,0,0,3,5,0,1,1,0,0,0,0,0,0,1
459256,0,1,46,1,0,0,2,4,5,0,0,0,1,0,0,0,0,0,2
459258,0,1,74,1,7,1,2,-1,5,0,0,0,0,0,0,0,0,0,2
459258,0,1,83,1,7,1,2,-1,5,0,0,0,0,0,0,0,0,1,2
459259,1,1,74,1,7,-1,2,2,5,1,0,0,0,0,0,0,0,0,3
459260,1,1,37,1,0,0,1,4,6,0,0,0,0,0,0,0,1,0,3
459261,0,0,32,1,1,0,0,3,5,0,1,1,0,0,0,1,0,0,3
459262,0,0,31,0,3,9,0,4,5,0,0,0,0,1,0,0,0,0,3
459263,0,0,32,0,5,8,0,4,5,0,0,0,0,0,0,0,0,0,4
459263,0,0,30,0,5,9,0,4,5,0,0,0,0,0,0,0,0,1,4
459264,0,0,42,1,0,0,0,2,5,0,0,0,0,0,1,0,0,0,3
